batch,condition_order,condition,source_condition,encoding,source_row,n,method,round,reps,wall,cpu,calls,transitions
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,2,4096,STATIC_CRN,0,32,0.03981960006058216,0.046875,393216,4923316
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,3,4096,MERGE,0,4,0.03996670059859753,0.03125,49152,614412
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,4,512,STATIC_ANTI,0,32,0.015036100521683693,0.015625,49152,616061
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,5,4096,BINARY,0,4,0.13768460042774677,0.0625,49152,614412
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,6,4096,STATIC_ANTI,0,32,0.04043950047343969,0.015625,393216,4898286
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,7,512,BINARY,0,4,0.021809199824929237,0.03125,6144,76790
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,8,4096,MERGE,1,4,0.0381947997957468,0.046875,49152,614492
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,9,4096,STATIC_ANTI,1,32,0.040341099724173546,0.03125,393216,4910985
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,10,4096,BINARY,1,4,0.11661119945347309,0.109375,49152,614492
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,11,512,MERGE,1,4,0.013362899422645569,0.015625,6144,76832
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,12,512,STATIC_ANTI,1,32,0.0143696004524827,0.015625,49152,611348
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,13,512,BINARY,1,4,0.022058499976992607,0.015625,6144,76832
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,14,512,STATIC_CRN,1,32,0.013811799697577953,0.015625,49152,614404
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,15,4096,STATIC_CRN,1,32,0.038872599601745605,0.046875,393216,4921670
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,16,512,STATIC_ANTI,2,32,0.014392299577593803,0.015625,49152,615464
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,17,4096,BINARY,2,4,0.11623340006917715,0.09375,49152,614405
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,18,512,STATIC_CRN,2,32,0.014059499837458134,0.0,49152,616422
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,19,4096,STATIC_ANTI,2,32,0.03870939929038286,0.046875,393216,4908665
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,20,4096,STATIC_CRN,2,32,0.03779350034892559,0.03125,393216,4912008
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,21,4096,MERGE,2,4,0.035782599821686745,0.03125,49152,614405
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,22,512,MERGE,2,4,0.013133400119841099,0.015625,6144,76846
ordering_2026-09-12,1,case_01_distant,law0_distant,distant,23,512,BINARY,2,4,0.020820200443267822,0.015625,6144,76846
